epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,392.7,2.05817,3.28403,1.11206,0.81628,0.58382,0.66764,0.27431,2.07323,1.76747,1.01915,0.0006662,0.0006662,0.0006662
2,775.013,2.01427,1.77705,1.10721,0.81472,0.5787,0.66469,0.28255,2.07105,1.54855,1.02673,0.00130648,0.00130648,0.00130648
3,1157,1.99879,1.68842,1.1008,0.8393,0.62168,0.69492,0.30873,1.98501,1.40668,0.99728,0.00192035,0.00192035,0.00192035
4,1535.37,1.93332,1.61257,1.08122,0.86566,0.68866,0.74777,0.33847,1.94451,1.39585,0.98627,0.0018812,0.0018812,0.0018812
5,1927.81,1.90309,1.52631,1.06685,0.88193,0.69279,0.76957,0.35758,1.88051,1.23642,0.98362,0.0018416,0.0018416,0.0018416
6,2336.38,1.86531,1.46429,1.04925,0.90461,0.66375,0.76166,0.36741,1.86338,1.2326,0.97178,0.001802,0.001802,0.001802
7,2770.76,1.82357,1.41813,1.04542,0.88839,0.70388,0.79821,0.38051,1.80215,1.15868,0.95283,0.0017624,0.0017624,0.0017624
8,3164.7,1.80075,1.34178,1.0334,0.90539,0.71165,0.80147,0.38203,1.82582,1.14137,0.95915,0.0017228,0.0017228,0.0017228
9,3573.37,1.76694,1.3196,1.0278,0.91125,0.71002,0.80834,0.39713,1.80166,1.1366,0.95183,0.0016832,0.0016832,0.0016832
10,3957.88,1.76711,1.28954,1.02541,0.92149,0.72003,0.82328,0.40074,1.78906,1.08123,0.95118,0.0016436,0.0016436,0.0016436
11,4339.87,1.73934,1.27635,1.01321,0.91699,0.76404,0.84573,0.40723,1.77215,1.04342,0.95008,0.001604,0.001604,0.001604
12,4730.87,1.72144,1.2301,1.00982,0.92161,0.77787,0.85139,0.41539,1.74249,0.99948,0.94279,0.0015644,0.0015644,0.0015644
13,5118.79,1.71291,1.21162,1.00447,0.89788,0.76652,0.83768,0.40239,1.81159,1.02052,0.95389,0.0015248,0.0015248,0.0015248
14,5504.86,1.70632,1.18398,1.00589,0.91583,0.77745,0.85129,0.42777,1.73803,0.98997,0.94009,0.0014852,0.0014852,0.0014852
15,5898.41,1.6903,1.17986,1.00048,0.91567,0.79128,0.85595,0.41913,1.74693,0.97503,0.93764,0.0014456,0.0014456,0.0014456
16,6291.38,1.6695,1.1359,0.99197,0.921,0.8026,0.8761,0.44324,1.71338,0.94193,0.93671,0.001406,0.001406,0.001406
17,6682.37,1.66631,1.12697,0.99477,0.9257,0.80553,0.8733,0.44892,1.66319,0.92588,0.92515,0.0013664,0.0013664,0.0013664
