epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,677.625,1.42765,3.18607,1.3928,0.48341,0.56246,0.51697,0.35384,1.01451,2.4259,1.11999,0.00333181,0.00333181,0.00333181
2,1321.32,1.1606,2.17936,1.21138,0.60111,0.66767,0.65448,0.49619,0.84364,1.72688,1.03837,0.00653317,0.00653317,0.00653317
3,1943.38,1.14983,1.88563,1.21659,0.63934,0.66428,0.67522,0.48418,0.98931,1.40882,1.09692,0.00960254,0.00960254,0.00960254
4,2554.95,1.13443,1.75486,1.21929,0.63111,0.72162,0.72722,0.5579,0.8363,1.18373,1.0374,0.009406,0.009406,0.009406
5,3164.99,1.05774,1.58941,1.18073,0.71768,0.73804,0.78105,0.61194,0.83202,1.0083,1.01312,0.009208,0.009208,0.009208
6,3780.26,0.99633,1.46312,1.15099,0.73241,0.76693,0.80883,0.63294,0.84536,0.9371,1.02027,0.00901,0.00901,0.00901
7,4391.32,0.95479,1.39311,1.13538,0.76669,0.76845,0.82434,0.67152,0.72847,0.85789,0.97364,0.008812,0.008812,0.008812
8,5009.71,0.92266,1.31946,1.11813,0.75855,0.80659,0.84235,0.68966,0.72735,0.80959,0.96281,0.008614,0.008614,0.008614
9,5612.95,0.89358,1.27335,1.10353,0.80593,0.80333,0.86603,0.71322,0.71327,0.74022,0.96192,0.008416,0.008416,0.008416
10,6211.95,0.87212,1.2155,1.09337,0.80271,0.82095,0.87457,0.73519,0.67012,0.71001,0.94371,0.008218,0.008218,0.008218
11,6814.83,0.85562,1.18847,1.08803,0.83335,0.8343,0.89403,0.74712,0.6734,0.66225,0.94391,0.00802,0.00802,0.00802
12,7418.37,0.8448,1.15335,1.08294,0.83293,0.84707,0.90077,0.76139,0.64841,0.6352,0.93058,0.007822,0.007822,0.007822
13,8024.32,0.82972,1.12473,1.07711,0.84634,0.85761,0.9122,0.78015,0.61461,0.61968,0.91912,0.007624,0.007624,0.007624
14,8628.12,0.81431,1.0886,1.06659,0.8536,0.862,0.91684,0.77778,0.65114,0.59264,0.92299,0.007426,0.007426,0.007426
15,9234.64,0.80236,1.06736,1.06268,0.86583,0.87025,0.92888,0.80411,0.60351,0.56488,0.90983,0.007228,0.007228,0.007228
16,9842.94,0.7951,1.05797,1.05723,0.86996,0.88159,0.93213,0.80083,0.61285,0.55284,0.91267,0.00703,0.00703,0.00703
17,10451.2,0.78138,1.02496,1.05048,0.87424,0.88898,0.94052,0.81652,0.584,0.52328,0.90056,0.006832,0.006832,0.006832
18,11059.5,0.77876,1.01352,1.05211,0.88149,0.89673,0.94733,0.82604,0.57508,0.50156,0.89372,0.006634,0.006634,0.006634
19,11663.7,0.76076,0.98184,1.04182,0.88594,0.90061,0.94893,0.8328,0.55096,0.4857,0.88755,0.006436,0.006436,0.006436
20,12268.4,0.75093,0.97009,1.03617,0.89948,0.8987,0.9514,0.83319,0.56924,0.4717,0.89094,0.006238,0.006238,0.006238
21,12874.4,0.74427,0.95163,1.03297,0.89584,0.90943,0.95737,0.84528,0.5394,0.45488,0.88129,0.00604,0.00604,0.00604
22,13478.5,0.73315,0.92522,1.02835,0.9173,0.91006,0.96237,0.85627,0.52315,0.43343,0.87703,0.005842,0.005842,0.005842
23,14084.2,0.7298,0.92185,1.02604,0.90769,0.91965,0.96462,0.86082,0.51324,0.42988,0.87274,0.005644,0.005644,0.005644
24,14684.9,0.72116,0.90647,1.02413,0.9278,0.91338,0.96571,0.86306,0.50647,0.41897,0.87185,0.005446,0.005446,0.005446
25,15291.3,0.71114,0.88616,1.01678,0.93154,0.91984,0.97003,0.86627,0.51456,0.4047,0.87092,0.005248,0.005248,0.005248
26,15900.5,0.70681,0.88133,1.01749,0.92735,0.924,0.97093,0.87015,0.50131,0.39876,0.86663,0.00505,0.00505,0.00505
27,16508.9,0.70395,0.86488,1.01576,0.92653,0.92659,0.97123,0.87066,0.50013,0.39091,0.86644,0.004852,0.004852,0.004852
28,17114.3,0.6948,0.85297,1.01123,0.93978,0.9291,0.97558,0.87862,0.49074,0.37709,0.86179,0.004654,0.004654,0.004654
29,17718.4,0.69113,0.84005,1.01074,0.93348,0.93491,0.97663,0.88242,0.48141,0.3688,0.8591,0.004456,0.004456,0.004456
30,18323.6,0.68205,0.83103,1.00637,0.93348,0.94011,0.97814,0.8857,0.47872,0.35935,0.85699,0.004258,0.004258,0.004258
31,18929.3,0.67182,0.81211,1.00087,0.94624,0.93738,0.97873,0.88663,0.47294,0.35446,0.85519,0.00406,0.00406,0.00406
32,19533.4,0.66561,0.79313,0.99753,0.93741,0.94321,0.97939,0.89082,0.46369,0.3452,0.85233,0.003862,0.003862,0.003862
33,20137.9,0.66429,0.80016,0.99728,0.95091,0.93606,0.98034,0.89267,0.45873,0.34017,0.85053,0.003664,0.003664,0.003664
34,20744.2,0.66159,0.78334,0.99647,0.9542,0.93468,0.98161,0.89464,0.45934,0.33703,0.84994,0.003466,0.003466,0.003466
35,21355.2,0.65446,0.78184,0.99432,0.95497,0.93844,0.98186,0.89399,0.46613,0.33356,0.85045,0.003268,0.003268,0.003268
36,21967,0.64464,0.7616,0.9902,0.95414,0.94065,0.98217,0.89764,0.45734,0.32795,0.84812,0.00307,0.00307,0.00307
37,22589,0.6356,0.74729,0.9848,0.94935,0.95123,0.98314,0.89908,0.45402,0.32372,0.84651,0.002872,0.002872,0.002872
38,23201.9,0.63355,0.74174,0.9845,0.95823,0.94807,0.98393,0.90296,0.4469,0.31643,0.84504,0.002674,0.002674,0.002674
39,23816.1,0.62948,0.73291,0.98262,0.95645,0.95186,0.98459,0.90452,0.44154,0.31092,0.84357,0.002476,0.002476,0.002476
40,24429.5,0.61959,0.72721,0.9762,0.95638,0.95611,0.98529,0.90539,0.4401,0.30591,0.8426,0.002278,0.002278,0.002278
41,25028,0.445,0.35417,0.89578,0.9577,0.95599,0.98649,0.90856,0.43513,0.30061,0.84086,0.00208,0.00208,0.00208
42,25631.2,0.42923,0.33447,0.88619,0.96526,0.95409,0.98719,0.91087,0.43035,0.29182,0.83883,0.001882,0.001882,0.001882
43,26225.4,0.41709,0.31776,0.87958,0.96634,0.95957,0.98762,0.91282,0.42878,0.28478,0.83683,0.001684,0.001684,0.001684
44,26825.1,0.40761,0.30462,0.8746,0.96437,0.96264,0.98805,0.91485,0.42418,0.27973,0.83475,0.001486,0.001486,0.001486
45,27419.1,0.39594,0.29626,0.87256,0.96557,0.96467,0.9884,0.91764,0.41828,0.27488,0.83271,0.001288,0.001288,0.001288
46,28014.8,0.38936,0.28622,0.86958,0.97023,0.96223,0.98875,0.91997,0.41422,0.26979,0.83108,0.00109,0.00109,0.00109
47,28624.8,0.38142,0.27978,0.86612,0.96726,0.96736,0.98918,0.92156,0.41067,0.26607,0.82967,0.000892,0.000892,0.000892
48,29234.5,0.37376,0.26967,0.86207,0.96643,0.96972,0.98963,0.92293,0.40779,0.2622,0.82869,0.000694,0.000694,0.000694
49,29842.7,0.36556,0.26182,0.8575,0.96718,0.97017,0.98983,0.92413,0.40563,0.25957,0.82804,0.000496,0.000496,0.000496
50,30446.7,0.36,0.25434,0.8568,0.96724,0.97139,0.99011,0.92507,0.40338,0.25671,0.82727,0.000298,0.000298,0.000298
