epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,773.057,2.01018,2.51293,1.10313,0.66627,0.5634,0.6226,0.24762,2.11741,1.75331,1.03272,0.000666208,0.000666208,0.000666208
2,1543.45,2.00282,1.71613,1.11969,0.77232,0.62379,0.68328,0.29092,2.04776,1.41747,1.02767,0.00130648,0.00130648,0.00130648
3,2326.32,1.95469,1.63372,1.10339,0.80615,0.60865,0.68468,0.26832,2.08795,1.45142,1.0251,0.00192036,0.00192036,0.00192036
4,3122.88,1.91785,1.55136,1.08822,0.8477,0.69676,0.75675,0.32947,1.9435,1.28312,0.99413,0.0018812,0.0018812,0.0018812
5,3912.71,1.87646,1.48562,1.06585,0.83392,0.7046,0.75745,0.31907,2.01123,1.24402,1.01315,0.0018416,0.0018416,0.0018416
6,4687.51,1.81088,1.38582,1.04985,0.82847,0.71685,0.77353,0.34927,1.85942,1.247,0.97737,0.001802,0.001802,0.001802
7,5451.67,1.81174,1.36487,1.04837,0.86679,0.72164,0.7879,0.35687,1.85182,1.18741,0.97106,0.0017624,0.0017624,0.0017624
8,6225.01,1.76869,1.30007,1.03948,0.84558,0.72129,0.7826,0.34725,1.91067,1.15708,0.97731,0.0017228,0.0017228,0.0017228
9,6995.89,1.74034,1.23832,1.02209,0.84263,0.71858,0.78333,0.36336,1.87808,1.17436,0.97213,0.0016832,0.0016832,0.0016832
10,7760.76,1.72025,1.23177,1.01664,0.88132,0.73078,0.81411,0.37376,1.84843,1.10188,0.96897,0.0016436,0.0016436,0.0016436
11,8521.41,1.70942,1.19295,1.01066,0.87158,0.75119,0.82299,0.38472,1.82421,1.06309,0.96239,0.001604,0.001604,0.001604
12,9294.03,1.66929,1.15342,0.99967,0.85973,0.74747,0.82068,0.3929,1.77136,1.00885,0.95009,0.0015644,0.0015644,0.0015644
13,10063.3,1.67484,1.14607,0.99723,0.8824,0.74335,0.8276,0.39346,1.80466,1.02157,0.95674,0.0015248,0.0015248,0.0015248
14,10827.5,1.65745,1.10994,0.99658,0.87798,0.74005,0.8322,0.40604,1.74113,0.97072,0.94419,0.0014852,0.0014852,0.0014852
15,11591.7,1.64081,1.0965,0.99331,0.87994,0.80726,0.84573,0.40658,1.78256,0.94227,0.94871,0.0014456,0.0014456,0.0014456
