epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5717.83,1.80668,2.20611,1.01753,0.85205,0.73329,0.79766,0.39531,1.79186,1.13207,0.93988,0.00333047,0.00333047,0.00333047
2,8141.52,1.75632,1.14432,0.99224,0.8377,0.66006,0.74777,0.32357,1.94236,1.25607,0.96686,0.00659783,0.00659783,0.00659783
3,14279.5,1.83507,1.27736,1.02089,0.82918,0.6645,0.73832,0.31379,1.96896,1.32059,0.99757,0.0097992,0.0097992,0.0097992
4,17349,1.88961,1.33681,1.05643,0.85522,0.659,0.74481,0.3426,1.89103,1.31109,0.98362,0.009703,0.009703,0.009703
5,19655,1.81809,1.24584,1.04077,0.89839,0.72515,0.79453,0.3812,1.8387,1.1563,0.976,0.009604,0.009604,0.009604
6,22646.9,1.7506,1.13708,1.02194,0.90715,0.75769,0.83077,0.39413,1.79946,1.10399,0.96132,0.009505,0.009505,0.009505
7,25677.9,1.72389,1.09903,1.00556,0.89116,0.77786,0.83188,0.40989,1.74203,1.06804,0.94746,0.009406,0.009406,0.009406
8,27458.8,1.67484,1.04685,0.99324,0.9037,0.77326,0.83357,0.38651,1.75703,1.05971,0.94329,0.009307,0.009307,0.009307
9,30513.8,1.66635,1.01145,0.98238,0.88856,0.76229,0.83432,0.41591,1.74674,1.05454,0.94064,0.009208,0.009208,0.009208
10,33028.8,1.64073,0.99235,0.98149,0.91161,0.78798,0.86308,0.44604,1.70279,0.97204,0.93679,0.009109,0.009109,0.009109
11,35924.4,1.61084,0.945,0.97247,0.92231,0.81465,0.88248,0.44684,1.67772,0.91614,0.93146,0.00901,0.00901,0.00901
12,38699.6,1.57504,0.91642,0.96776,0.90608,0.81146,0.87804,0.45744,1.67157,0.94369,0.92834,0.008911,0.008911,0.008911
13,41821.3,1.5747,0.89852,0.96249,0.91552,0.82632,0.885,0.45708,1.64619,0.90679,0.92358,0.008812,0.008812,0.008812
